timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1518027364811,5516,Insertar,200,OK,Aqui Usuarios 1-35,text,true,,6723,0,35,35,5516,1,0,0,0
1518027364925,5480,Insertar,200,OK,Aqui Usuarios 1-34,text,true,,6721,0,35,35,5480,1,0,0,0
1518027369723,736,Page Login,200,OK,Aqui Usuarios 1-3,text,true,,5427,0,35,35,736,1,0,0,0
1518027369784,728,Page Login,200,OK,Aqui Usuarios 1-8,text,true,,5429,0,35,35,728,1,0,0,0
1518027365665,4900,Eliminar,200,OK,Aqui Usuarios 1-7,text,true,,4355,589,35,35,4900,1,0,0,0
1518027365817,4809,Eliminar,200,OK,Aqui Usuarios 1-10,text,true,,4358,591,35,35,4809,1,0,0,0
1518027369991,657,Page Login,200,OK,Aqui Usuarios 1-11,text,true,,5427,0,35,35,657,1,0,0,0
1518027366846,4018,Eliminar,200,OK,Aqui Usuarios 1-12,text,true,,4358,592,35,35,4018,1,0,0,0
1518027366945,3919,Eliminar,200,OK,Aqui Usuarios 1-15,text,true,,4356,590,35,35,3919,1,0,0,0
1518027370186,767,Page Login,200,OK,Aqui Usuarios 1-9,text,true,,5428,0,35,35,767,1,0,0,0
1518027367109,4425,Eliminar,200,OK,Aqui Usuarios 1-16,text,true,,4357,590,35,35,4425,1,0,0,0
1518027370326,1233,Page Eliminar,200,OK,Aqui Usuarios 1-35,text,true,,3843,217,35,35,1233,1,0,0,1
1518027367291,4352,Eliminar,200,OK,Aqui Usuarios 1-19,text,true,,4358,591,35,35,4352,1,0,0,0
1518027370404,1283,Page Eliminar,200,OK,Aqui Usuarios 1-34,text,true,,3843,217,35,35,1283,1,0,0,0
1518027370564,1194,Page Login,200,OK,Aqui Usuarios 1-7,text,true,,5427,0,35,35,1194,1,0,0,0
1518027370625,1168,Page Login,200,OK,Aqui Usuarios 1-10,text,true,,5427,0,35,35,1168,1,0,0,0
1518027367336,4513,Eliminar,200,OK,Aqui Usuarios 1-17,text,true,,4358,591,35,35,4513,1,0,0,0
1518027370863,994,Page Login,200,OK,Aqui Usuarios 1-12,text,true,,5428,0,35,35,994,1,0,0,0
1518027370863,1049,Page Login,200,OK,Aqui Usuarios 1-15,text,true,,5427,0,35,35,1049,1,0,0,0
1518027367366,4633,Eliminar,200,OK,Aqui Usuarios 1-18,text,true,,4357,591,35,35,4633,1,0,0,0
1518027367563,4468,Eliminar,200,OK,Aqui Usuarios 1-14,text,true,,4357,592,35,35,4468,1,0,0,0
1518027368303,3776,Eliminar,200,OK,Aqui Usuarios 1-21,text,true,,4356,591,35,35,3776,1,0,0,0
1518027368523,3585,Eliminar,200,OK,Aqui Usuarios 1-13,text,true,,4356,591,35,35,3585,1,0,0,0
1518027368625,3753,Eliminar,200,OK,Aqui Usuarios 1-25,text,true,,4356,591,35,35,3753,1,0,0,0
1518027369088,3310,Eliminar,200,OK,Aqui Usuarios 1-23,text,true,,4356,590,35,35,3310,1,0,0,0
1518027368718,3760,Eliminar,200,OK,Aqui Usuarios 1-22,text,true,,4357,592,35,35,3760,1,0,0,0
1518027369132,3383,Eliminar,200,OK,Aqui Usuarios 1-26,text,true,,4357,592,35,35,3383,1,0,0,0
1518027369209,3385,Eliminar,200,OK,Aqui Usuarios 1-28,text,true,,4357,591,35,35,3385,1,0,0,0
1518027369345,3250,Eliminar,200,OK,Aqui Usuarios 1-32,text,true,,4358,592,35,35,3250,1,0,0,0
1518027371533,1094,Page Login,200,OK,Aqui Usuarios 1-16,text,true,,5427,0,35,35,1094,1,0,0,0
1518027369434,3289,Eliminar,200,OK,Aqui Usuarios 1-24,text,true,,4356,591,35,35,3289,1,0,0,0
1518027371643,1123,Page Login,200,OK,Aqui Usuarios 1-19,text,true,,5429,0,35,35,1123,1,0,0,0
